data,texto,retweet,idioma,lugar,pais,sigla,latitude,longitude
2020-04-04 21:21:39,"Em tempos de Coronavirus no Brasil o povo está preocupado com as contas, mas se esquece de que a saúde é importante… https://t.co/5XjnkkBXZ4",0,pt,Santos,Brazil,BR,-46.3204183,-23.9750647
2020-03-23 13:36:47,"isolamento social em Mesquita, Rio de Janeiro https://t.co/KeefAy3Vtt",0,pt,Mesquita,Brazil,BR,-43.4288,-22.7819
2020-04-16 22:12:55,"Afinal o Covid 19, é  uma criação  de laboratório para lucros de alguns, é prejuízos de outros tantos. Com a.palvra… https://t.co/HApzfiuPcv",0,pt,Sao Paulo,Brazil,BR,-46.57275813,-23.53815839
2020-04-05 05:23:43,"Sábado a tarde! Em casa, cara limpa, sem filtro. Seguindo no isolamento social. em Condominio Residencial das Minas… https://t.co/pzYMZW3Bi6",0,pt,Belo Horizonte,Brazil,BR,-44.02127634,-19.93730415
2020-05-20 23:04:50,Partiu! Fazer aquilo que mais amo. Claro com todos os cuidados. #patinsinline #pandemia #patinsstreet #patins… https://t.co/IoUnEsAm4J,1,pt,São José do Rio Preto,Brazil,BR,-49.38443987,-20.80330968
2020-03-19 17:25:31,Covid-19 Como trabalhar de casa em tempos de corona vírus? O vídeo está no meu canal no YouTube é só buscar por Afr… https://t.co/DNfPAgqfsW,0,pt,Cuiabá,Brazil,BR,-56.0969,-15.5958
2020-04-15 22:22:28,"Já fizemos quarentena. Já deu tempo de prepararem hospitais. Agora, a partir daqui, qual é o plano? Se não tem test… https://t.co/JopWjugGsC",0,pt,Vitória,Brazil,BR,-40.3378,-20.3189
2020-04-15 21:17:08,Corona Vírus 🦠 em Rabeia Bode https://t.co/8oci0e8jGW,0,pt,Gurupi,Brazil,BR,-49.06996,-11.76834
2020-02-23 18:26:33,FMI considera que surto de coronavírus põe em risco recuperação da económica https://t.co/YqJ08jVA7m Em… https://t.co/eomk5xcYnw,0,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-04-14 00:00:22,Alagoas tem mais um óbito por Covid-19 confirmado e o número de casos subiu para 58. A informação foi divulgada no… https://t.co/Vg33L06NGh,2,pt,Taquarana,Brazil,BR,-36.55,-9.57
2020-05-25 18:33:00,"Venho com muita humildade, informar a todos que o meu Pai Ednaldo (mais conhecido como seu Naldinho), encontra-se i… https://t.co/29SIZYnwfg",0,pt,Caxias,Brazil,BR,-43.34768965,-4.88212818
2020-05-30 12:18:43,É chegado o momento de verdadeira transparência nas investigações do uso do dinheiro do povo na condução dos trabal… https://t.co/66zu5F2cRe,0,pt,São Bernardo do Campo,Brazil,BR,-46.5611,-23.719
2020-03-24 19:48:59,"A Meu Pé de Bitcoin, vem a público através desta, informar que a COPA MEU PÉ DE BITCOIN 2020 está oficialmente CANC… https://t.co/IxkP4yMkSa",0,pt,Sertânia,Brazil,BR,-37.26645,-8.07153
2020-05-27 18:33:25,"Em Corumbá, mais dois casos confirmados de Covid-19 pelo sistema Drive-thru, um de 71 anos e o outro de 44 anos, os… https://t.co/7itDMbvnZB",0,pt,Campo Grande,Brazil,BR,-54.64583333,-20.44277778
